"연도","월","구분","주택","보증유형"," 건수 "," 금액(백만원) ","비율","",""
"2017","06","단독주택","다세대주택","전세자금대출특약보증","1133","141109","11.24","",""
"2017","06","공동주택","연립주택","전세자금대출특약보증","173","22834","1.82","",""
"2017","06","공동주택","오피스텔","전세자금대출특약보증","367","49628","3.95","",""
"2017","06","공동주택","아파트","전세자금대출특약보증","6426","967185","77.05","",""
"2017","09","단독주택","단독주택","전세보증금반환보증","243","38870","1.50","",""
"2017","09","단독주택","다가구주택","전세보증금반환보증","540","87998","3.40","",""
"2017","09","단독주택","다세대주택","전세보증금반환보증","1649","300973","11.50","",""
"2017","09","공동주택","연립주택","전세보증금반환보증","225","44544","1.70","",""
"2017","09","공동주택","오피스텔","전세보증금반환보증","606","109046","4.20","",""
"2017","09","공동주택","아파트","전세보증금반환보증","8955","2036377","77.80","",""
"2017","09","단독주택","단독주택","전세자금대출특약보증","234","27493","1.60","",""
"2017","09","단독주택","다가구주택","전세자금대출특약보증","520","62761","3.70","",""
"2017","09","단독주택","다세대주택","전세자금대출특약보증","1586","210323","12.50","",""
"2017","09","공동주택","연립주택","전세자금대출특약보증","216","30427","1.80","",""
"2017","09","공동주택","오피스텔","전세자금대출특약보증","549","73496","4.40","",""
"2017","09","공동주택","아파트","전세자금대출특약보증","7902","1275916","75.90","",""
"2017","12","단독주택","단독주택","전세보증금반환보증","283","46528","2.20","",""
"2017","12","단독주택","다가구주택","전세보증금반환보증","589","99699","4.50","",""
"2017","12","단독주택","다세대주택","전세보증금반환보증","2068","387204","15.80","",""
"2017","12","공동주택","연립주택","전세보증금반환보증","222","42545","1.70","",""
"2017","12","공동주택","오피스텔","전세보증금반환보증","633","121579","4.80","",""
"2017","12","공동주택","아파트","전세보증금반환보증","9289","2182116","71.00","",""
"2017","12","단독주택","단독주택","전세자금대출특약보증","273","33018","2.30","",""
"2017","12","단독주택","다가구주택","전세자금대출특약보증","566","72014","4.70","",""
"2017","12","단독주택","다세대주택","전세자금대출특약보증","2004","274301","16.60","",""
"2017","12","공동주택","연립주택","전세자금대출특약보증","210","29472","1.70","",""
"2017","12","공동주택","오피스텔","전세자금대출특약보증","593","83827","4.90","",""
"2017","12","공동주택","아파트","전세자금대출특약보증","8424","1396837","69.80","",""
"2018","03","단독주택","단독주택","전세보증금반환보증","370","64361","2.00","",""
"2018","03","단독주택","다가구주택","전세보증금반환보증","852","136918","4.60","",""
"2018","03","단독주택","다세대주택","전세보증금반환보증","2701","499758","14.59","",""
"2018","03","공동주택","연립주택","전세보증금반환보증","277","51308","1.50","",""
"2018","03","공동주택","오피스텔","전세보증금반환보증","912","165226","4.93","",""
"2018","03","공동주택","아파트","전세보증금반환보증","13404","3166740","72.39","",""
"2018","03","단독주택","단독주택","전세자금대출특약보증","339","44960","2.00","",""
"2018","03","단독주택","다가구주택","전세자금대출특약보증","791","97925","4.00","",""
"2018","03","단독주택","다세대주택","전세자금대출특약보증","2524","345600","14.00","",""
"2018","03","공동주택","연립주택","전세자금대출특약보증","256","33678","1.00","",""
"2018","03","공동주택","오피스텔","전세자금대출특약보증","816","109960","4.00","",""
"2018","03","공동주택","아파트","전세자금대출특약보증","11378","1881362","75.00","",""
"2018","06","단독주택","단독주택","전세보증금반환보증","594","97892","2.58","",""
"2018","06","단독주택","다가구주택","전세보증금반환보증","1085","176750","4.72","",""
"2018","06","단독주택","다세대주택","전세보증금반환보증","3851","720545","16.75","",""
"2018","06","공동주택","연립주택","전세보증금반환보증","396","72074","1.72","",""
"2018","06","공동주택","오피스텔","전세보증금반환보증","1369","255858","5.95","",""
"2018","06","공동주택","아파트","전세보증금반환보증","15696","3606219","68.27","",""
"2018","06","단독주택","단독주택","전세자금대출특약보증","559","67379","2.30","",""
"2018","06","단독주택","다가구주택","전세자금대출특약보증","1003","123562","4.20","",""
"2018","06","단독주택","다세대주택","전세자금대출특약보증","3527","478500","16.10","",""
"2018","06","공동주택","연립주택","전세자금대출특약보증","355","47170","1.60","",""
"2018","06","공동주택","오피스텔","전세자금대출특약보증","1190","165060","5.60","",""
"2018","06","공동주택","아파트","전세자금대출특약보증","13104","2081503","70.20","",""
"2018","09","단독주택","단독주택","전세보증금반환보증","575","94803","2.69","",""
"2018","09","단독주택","다가구주택","전세보증금반환보증","1265","199604","5.92","",""
"2018","09","단독주택","다세대주택","전세보증금반환보증","3217","599376","15.06","",""
"2018","09","공동주택","연립주택","전세보증금반환보증","348","64459","1.63","",""
"2018","09","공동주택","오피스텔","전세보증금반환보증","1309","229850","6.13","",""
"2018","09","공동주택","아파트","전세보증금반환보증","14651","3365194","68.57","",""
"2018","09","단독주택","단독주택","전세자금대출특약보증","538","65857","2.40","",""
"2018","09","단독주택","다가구주택","전세자금대출특약보증","1191","140801","5.10","",""
"2018","09","단독주택","다세대주택","전세자금대출특약보증","2905","398910","14.30","",""
"2018","09","공동주택","연립주택","전세자금대출특약보증","301","40409","1.50","",""
"2018","09","공동주택","오피스텔","전세자금대출특약보증","1066","140764","5.10","",""
